Exajoules (input-equivalent),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2019,2008-18,2019
Finland,^,^,^,^,^,0.01,0.01,0.02,0.03,0.04,0.05,0.05,2.10%,35.70%,0.40%
France,0.05,0.07,0.09,0.11,0.14,0.15,0.16,0.19,0.19,0.22,0.25,0.31,22.30%,16.60%,2.40%
Germany,0.39,0.37,0.36,0.47,0.48,0.49,0.54,0.73,0.72,0.95,0.98,1.12,14.20%,9.80%,8.80%
Greece,0.02,0.02,0.03,0.03,0.04,0.04,0.03,0.04,0.05,0.05,0.06,0.06,15.10%,10.20%,0.50%
Hungary,^,^,^,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,19.20%,10.80%,0.10%
Iceland,-,-,-,^,-,^,^,^,^,^,^,^,50.00%,?,?
Ireland,0.02,0.03,0.03,0.04,0.04,0.04,0.05,0.06,0.06,0.07,0.08,0.09,11.80%,12.90%,0.70%
Italy,0.05,0.06,0.09,0.09,0.12,0.14,0.14,0.14,0.16,0.16,0.16,0.18,12.80%,13.10%,1.40%
Latvia,^,^,^,^,^,^,^,^,^,^,^,^,26.20%,7.10%,?
Lithuania,^,^,^,^,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,27.00%,23.50%,0.10%
Luxembourg,^,^,^,^,^,^,^,^,^,^,^,^,4.40%,14.70%,?
Netherlands,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.07,0.07,0.1,0.09,0.1,8.10%,8.90%,0.80%
North Macedonia,-,-,-,-,-,-,^,^,^,^,^,^,4.20%,?,?
Norway,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.03,0.05,42.30%,14.90%,0.40%
Poland,0.01,0.01,0.02,0.03,0.04,0.06,0.07,0.1,0.11,0.13,0.11,0.13,17.10%,30.60%,1.10%
Portugal,0.05,0.07,0.09,0.09,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.12,8.50%,7.50%,1.00%
Romania,^,^,^,0.01,0.02,0.04,0.04,0.06,0.06,0.07,0.06,0.06,6.30%,103.00%,0.50%
Slovakia,^,^,^,^,^,^,^,^,^,^,^,^,-50.20%,-2.10%,?
Slovenia,-,-,-,-,-,^,^,^,^,^,^,^,1.60%,?,?
Spain,0.31,0.36,0.41,0.4,0.46,0.51,0.48,0.45,0.44,0.44,0.46,0.5,10.00%,3.80%,3.90%
Sweden,0.02,0.02,0.03,0.06,0.07,0.09,0.1,0.15,0.14,0.16,0.15,0.18,19.20%,22.90%,1.40%
Switzerland,^,^,^,^,^,^,^,^,^,^,^,^,-0.40%,19.70%,?
Turkey,0.01,0.01,0.03,0.04,0.05,0.07,0.08,0.11,0.14,0.16,0.18,0.19,8.40%,36.30%,1.50%
Ukraine,^,^,^,^,^,0.01,0.01,0.01,0.01,0.01,0.01,0.02,58.00%,37.90%,0.10%
United Kingdom,0.07,0.09,0.1,0.15,0.18,0.26,0.29,0.37,0.34,0.45,0.51,0.57,12.30%,22.40%,4.50%
Other Europe,^,^,^,^,^,^,^,^,^,^,0.01,0.01,137.90%,45.30%,0.10%
Total Europe,1.15,1.28,1.44,1.74,1.99,2.29,2.43,2.9,2.92,3.46,3.6,4.11,14.20%,12.10%,32.30%
Azerbaijan,-,^,^,-,-,^,^,^,^,^,^,^,63.20%,?,?
Belarus,^,^,^,^,^,^,^,^,^,^,^,^,7.00%,57.40%,?
Kazakhstan,-,-,-,^,^,^,^,^,^,^,^,^,28.20%,?,?
Russian Federation,^,^,^,^,^,^,^,^,^,^,^,^,32.30%,45.60%,?
Turkmenistan,-,-,-,-,-,-,-,-,-,-,-,-,?,?,?
USSR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Uzbekistan,-,-,-,-,-,-,-,-,-,-,-,-,?,?,?
Other CIS,^,^,^,^,^,^,^,^,^,^,^,^,5.30%,28.50%,?
Total CIS,^,^,^,^,^,^,^,^,^,0.01,0.01,0.01,29.60%,57.90%,0.10%
Iran,^,^,^,^,^,^,^,^,^,^,^,^,6.80%,4.80%,?
Iraq,-,-,-,-,-,-,-,-,-,-,-,-,?,?,?
Israel,^,^,^,^,^,^,^,^,^,^,^,^,-0.40%,21.00%,?
Kuwait,-,-,-,-,-,-,-,-,-,^,^,^,-0.40%,?,?
Oman,-,-,-,-,-,-,-,-,-,-,-,-,?,?,?
Qatar,-,-,-,-,-,-,-,-,-,-,-,-,?,?,?
Saudi Arabia,-,-,-,-,-,-,-,-,-,-,-,-,?,?,?
United Arab Emirates,-,-,-,-,-,^,^,^,^,^,^,^,-0.40%,?,?
Other Middle East,^,^,^,^,^,^,^,^,^,^,0.01,0.01,-0.40%,62.30%,0.10%
Total Middle East,^,^,^,^,^,^,^,^,0.01,0.01,0.01,0.01,1.70%,17.60%,0.10%
Algeria,-,-,-,-,-,-,^,^,^,^,^,^,-0.40%,?,?
Egypt,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.02,37.00%,7.50%,0.20%
Morocco,^,^,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.03,0.04,21.90%,28.30%,0.30%
South Africa,^,^,^,^,^,^,0.01,0.03,0.04,0.05,0.06,0.06,0.30%,77.40%,0.50%
Eastern Africa,^,^,^,^,^,^,^,0.01,0.01,0.01,0.01,0.02,173.60%,48.00%,0.20%
Middle Africa,-,-,-,-,-,-,-,-,^,^,^,^,-0.40%,n/a,?
Western Africa,^,^,^,^,^,^,^,^,^,^,^,^,-0.70%,37.00%,?
Other Northern Africa,^,^,^,^,^,^,^,^,^,^,^,^,10.00%,26.90%,?
Other Southern Africa,-,-,-,-,-,-,-,-,-,-,-,-,n/a,n/a,?
Total Africa,0.01,0.02,0.02,0.02,0.03,0.03,0.05,0.08,0.1,0.11,0.13,0.16,22.10%,26.20%,1.20%
Australia,0.03,0.04,0.05,0.06,0.07,0.09,0.09,0.11,0.12,0.12,0.15,0.17,18.50%,16.10%,1.40%
Bangladesh,^,^,^,^,^,^,^,^,^,^,^,^,-0.40%,5.10%,?
China,0.12,0.26,0.46,0.69,0.96,1.27,1.46,1.69,2.18,2.74,3.27,3.62,10.50%,38.70%,28.40%
China Hong Kong SAR,^,^,^,^,^,^,^,^,^,^,^,^,-3.80%,7.70%,?
India,0.14,0.15,0.18,0.22,0.25,0.28,0.31,0.3,0.39,0.47,0.54,0.56,4.60%,14.70%,4.40%
Indonesia,^,^,^,^,^,^,-,^,^,-,^,^,-0.40%,91.30%,?
Japan,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.05,0.06,0.06,0.07,0.08,16.80%,8.90%,0.60%
Malaysia,-,-,-,-,-,-,-,-,-,-,-,-,?,?,?
New Zealand,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,8.70%,6.30%,0.20%
Pakistan,-,-,-,-,-,^,0.01,0.01,0.01,0.02,0.03,0.04,51.70%,?,0.30%
Philippines,^,^,^,^,^,^,^,0.01,0.01,0.01,0.01,0.01,1.50%,33.30%,0.10%
Singapore,-,-,-,-,-,-,-,-,-,-,-,-,?,?,?
South Korea,^,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,6.20%,17.50%,0.20%
Sri Lanka,^,^,^,^,^,^,^,^,^,^,^,^,-0.40%,59.50%,?
Taiwan,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.02,10.60%,10.40%,0.10%
Thailand,^,^,^,^,^,^,^,^,^,0.01,0.02,0.02,36.10%,128.10%,0.20%
Vietnam,^,^,^,^,^,^,^,^,^,^,^,^,57.70%,67.30%,?
Other Asia Pacific,^,^,^,^,^,^,^,^,^,^,^,^,43.00%,23.20%,?
Total Asia Pacific,0.34,0.52,0.77,1.06,1.37,1.74,1.97,2.22,2.83,3.49,4.15,4.58,10.50%,28.30%,36.00%
Total World,2.1,2.61,3.25,4.11,4.92,5.86,6.47,7.57,8.73,10.27,11.36,12.74,12.10%,18.40%,100.00%
