Exajoules (input-equivalent),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2019,2008-18,2019
Lithuania,-,-,-,^,^,^,^,^,^,^,^,^,12.10%,?,?
Luxembourg,^,^,^,^,^,^,^,^,^,^,^,^,0.30%,18.90%,?
Netherlands,^,^,^,^,^,^,0.01,0.01,0.01,0.02,0.03,0.05,40.00%,56.70%,0.70%
North Macedonia,-,-,^,^,^,^,^,^,^,^,^,^,1.60%,?,?
Norway,^,^,^,^,^,^,^,^,^,^,^,^,31.70%,26.90%,?
Poland,-,-,-,^,^,^,^,^,^,^,^,0.01,136.80%,?,0.10%
Portugal,^,^,^,^,^,^,0.01,0.01,0.01,0.01,0.01,0.01,26.40%,36.90%,0.20%
Romania,-,^,^,^,^,^,0.01,0.02,0.02,0.02,0.02,0.02,-2.50%,?,0.20%
Slovakia,-,-,^,^,^,0.01,0.01,^,^,^,0.01,0.01,0.30%,?,0.10%
Slovenia,^,^,^,^,^,^,^,^,^,^,^,^,4.80%,73.00%,?
Spain,0.02,0.06,0.07,0.08,0.11,0.12,0.13,0.13,0.12,0.13,0.11,0.13,17.60%,16.60%,2.10%
Sweden,^,^,^,^,^,^,^,^,^,^,^,0.01,49.50%,57.20%,0.10%
Switzerland,^,^,^,^,^,^,0.01,0.01,0.01,0.02,0.02,0.02,15.80%,47.70%,0.30%
Turkey,-,-,^,^,^,^,^,^,0.01,0.03,0.07,0.1,39.50%,?,1.50%
Ukraine,-,-,-,^,^,0.01,^,^,^,0.01,0.01,0.03,161.90%,?,0.40%
United Kingdom,^,^,^,^,0.01,0.02,0.04,0.07,0.09,0.1,0.12,0.11,-1.80%,92.90%,1.80%
Other Europe,^,^,^,^,^,^,^,^,^,^,^,^,13.50%,70.50%,?
Total Europe,0.07,0.13,0.22,0.44,0.67,0.8,0.91,1,1.03,1.12,1.24,1.38,11.20%,33.10%,21.40%
Azerbaijan,-,-,-,-,-,^,^,^,^,^,^,^,11.20%,?,?
Belarus,-,-,-,-,-,^,^,^,^,^,^,^,1.10%,?,?
Kazakhstan,-,-,-,-,^,^,^,^,^,^,^,^,105.00%,?,?
Russian Federation,-,-,-,^,^,^,^,^,^,^,0.01,0.01,57.20%,?,0.10%
Turkmenistan,-,-,^,^,^,^,^,^,^,^,^,^,-0.40%,?,?
USSR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Uzbekistan,-,-,-,-,-,-,-,-,^,^,^,^,132.50%,?,?
Other CIS,-,^,^,^,^,^,^,^,^,^,^,^,64.00%,n/a,?
Total CIS,-,^,^,^,^,^,^,^,0.01,0.01,0.01,0.01,55.20%,n/a,0.20%
Iran,^,^,^,^,^,^,^,^,^,^,^,^,27.70%,90.40%,?
Iraq,-,-,-,-,-,^,^,^,^,^,^,^,-0.40%,?,?
Israel,-,^,^,^,^,^,0.01,0.01,0.01,0.01,0.01,0.02,72.20%,?,0.40%
Kuwait,-,-,-,-,-,^,^,^,^,^,^,^,115.90%,?,?
Oman,-,-,-,-,-,^,^,^,^,^,^,^,-0.40%,?,?
Qatar,-,-,-,^,^,^,^,^,^,^,^,^,-0.40%,?,?
Saudi Arabia,^,^,^,^,^,^,^,^,^,^,^,0.02,365.60%,89.20%,0.20%
United Arab Emirates,-,^,^,^,^,^,^,^,^,0.01,0.01,0.04,216.10%,?,0.60%
Other Middle East,^,^,^,^,^,^,^,^,0.01,0.02,0.02,0.03,11.50%,97.30%,0.40%
Total Middle East,^,^,^,^,^,0.01,0.01,0.02,0.03,0.04,0.05,0.11,94.60%,109.60%,1.60%
Algeria,-,-,^,^,^,^,^,^,^,^,0.01,0.01,1.60%,?,0.10%
Egypt,^,^,^,^,^,^,^,^,^,0.01,0.01,0.03,142.50%,98.50%,0.50%
Morocco,^,^,^,^,^,^,^,^,^,^,0.01,0.01,65.80%,148.20%,0.20%
South Africa,^,^,^,^,^,^,0.01,0.03,0.03,0.04,0.04,0.05,6.20%,71.00%,0.70%
Eastern Africa,^,^,^,^,^,^,^,^,^,0.01,0.01,0.06,804.80%,44.90%,1.00%
Middle Africa,^,^,^,^,^,^,^,^,^,^,^,^,-0.30%,23.50%,?
Western Africa,^,^,^,^,^,^,^,^,^,^,0.01,0.01,1.70%,48.10%,0.10%
Other Northern Africa,^,^,^,^,^,^,^,^,^,^,^,^,29.20%,33.70%,?
Other Southern Africa,^,^,^,^,^,^,^,^,^,^,^,^,111.70%,35.40%,?
Total Africa,^,^,^,^,0.01,0.01,0.02,0.03,0.04,0.06,0.09,0.17,96.00%,61.90%,2.70%
Australia,^,^,0.01,0.02,0.02,0.04,0.05,0.06,0.07,0.08,0.11,0.16,45.60%,55.60%,2.50%
Bangladesh,^,^,^,^,^,^,^,^,^,^,^,^,40.70%,33.80%,0.10%
China,^,^,0.01,0.02,0.03,0.08,0.22,0.36,0.6,1.06,1.58,2,26.00%,101.40%,30.90%
China Hong Kong SAR,-,-,^,^,^,^,^,^,^,^,^,^,-3.80%,?,?
India,^,^,^,0.01,0.02,0.03,0.04,0.06,0.1,0.19,0.33,0.41,26.90%,87.70%,6.40%
Indonesia,^,^,^,^,^,^,^,^,^,^,^,^,216.90%,68.80%,?
Japan,0.02,0.03,0.04,0.05,0.07,0.12,0.22,0.31,0.39,0.49,0.59,0.67,13.50%,37.40%,10.40%
Malaysia,-,-,-,-,^,^,^,^,^,^,^,0.01,63.90%,?,0.10%
New Zealand,^,^,^,^,^,^,^,^,^,^,^,^,27.20%,39.10%,?
Pakistan,^,^,^,^,^,^,^,^,0.01,0.01,0.01,0.01,13.30%,89.80%,0.20%
Philippines,^,^,^,^,^,^,^,^,0.01,0.01,0.01,0.01,6.20%,97.50%,0.20%
Singapore,^,^,^,^,^,^,^,^,^,^,^,^,43.50%,83.30%,?
South Korea,^,0.01,0.01,0.01,0.01,0.02,0.02,0.04,0.05,0.07,0.09,0.11,25.10%,39.90%,1.70%
Sri Lanka,^,^,^,^,^,^,^,^,^,^,^,^,15.80%,46.90%,0.10%
Taiwan,^,^,^,^,^,^,0.01,0.01,0.01,0.02,0.02,0.04,50.70%,88.40%,0.60%
Thailand,^,^,^,^,^,0.01,0.02,0.02,0.03,0.04,0.04,0.04,0.10%,61.50%,0.70%
Vietnam,-,-,^,^,^,^,^,^,^,^,^,0.04,3570.20%,?,0.60%
Other Asia Pacific,^,^,^,^,^,^,^,^,^,^,^,0.01,31.50%,34.40%,0.10%
Total Asia Pacific,0.03,0.04,0.06,0.11,0.16,0.3,0.58,0.87,1.28,1.98,2.8,3.51,25.30%,56.40%,54.40%
Total World,0.12,0.2,0.32,0.61,0.93,1.28,1.81,2.34,2.97,4.02,5.21,6.45,23.80%,45.80%,100.00%
