Terawatt-hours,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2019,2008-18,2019
Cyprus,^,^,^,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,7.90%,90.20%,?
Czech Republic,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.5,0.6,0.6,0.7,14.90%,9.60%,?
Denmark,6.9,6.7,7.8,9.8,10.3,11.1,13.1,14.1,12.8,14.8,13.9,16.1,16.20%,7.20%,1.10%
Estonia,0.1,0.2,0.3,0.4,0.4,0.5,0.6,0.7,0.6,0.7,0.6,0.7,6.50%,16.90%,?
Finland,0.3,0.3,0.3,0.5,0.5,0.8,1.1,2.3,3.1,4.8,5.8,6,2.50%,36.50%,0.40%
France,5.7,7.9,9.9,12.1,14.9,16,17.2,21.2,21.4,24.3,28.1,34.5,22.80%,17.30%,2.40%
Germany,40.6,38.6,38.5,49.9,51.7,52.7,58.5,80.6,79.9,105.7,110,126,14.60%,10.50%,8.80%
Greece,2.2,2.5,2.7,3.3,3.9,4.1,3.7,4.6,5.1,5.5,6.3,7.3,15.50%,10.90%,0.50%
Hungary,0.2,0.3,0.5,0.6,0.8,0.7,0.7,0.7,0.7,0.8,0.6,0.7,19.60%,11.50%,0.10%
Iceland,-,-,-,^,-,^,^,^,^,^,^,^,50.50%,?,?
Ireland,2.4,3,2.8,4.4,4,4.5,5.1,6.6,6.1,7.4,8.6,9.7,12.20%,13.60%,0.70%
Italy,4.9,6.5,9.1,9.9,13.4,14.9,15.2,14.8,17.7,17.7,17.7,20.1,13.20%,13.80%,1.40%
Latvia,0.1,^,^,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,26.70%,7.70%,?
Lithuania,0.1,0.2,0.2,0.5,0.5,0.6,0.6,0.8,1.1,1.4,1.1,1.5,27.40%,24.20%,0.10%
Luxembourg,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,4.80%,15.40%,?
Netherlands,4.3,4.6,4,5.1,5,5.6,5.8,7.5,8.2,10.6,10.6,11.5,8.50%,9.50%,0.80%
North Macedonia,-,-,-,-,-,-,0.1,0.1,0.1,0.1,0.1,0.1,4.60%,?,?
Norway,0.9,1,0.9,1.3,1.5,1.9,2.2,2.5,2.1,2.9,3.9,5.5,42.80%,15.60%,0.40%
Poland,0.8,1.1,1.7,3.2,4.7,6,7.7,10.9,12.6,14.9,12.8,15,17.50%,31.40%,1.10%
Portugal,5.8,7.6,9.2,9.2,10.3,12,12.1,11.6,12.5,12.2,12.6,13.7,8.90%,8.20%,1.00%
Romania,^,^,0.3,1.4,2.6,4.5,4.7,7.1,6.6,7.4,6.3,6.7,6.70%,104.30%,0.50%
Slovakia,^,^,^,^,^,^,^,^,^,^,^,^,-50.00%,-1.50%,?
Slovenia,-,-,-,-,-,^,^,^,^,^,^,^,1.90%,?,?
Spain,32.9,37.9,43.7,42.4,49.5,55.8,52,49.3,48.9,49.1,50.9,56.2,10.40%,4.40%,3.90%
Sweden,2,2.5,3.5,6.1,7.2,9.8,11.2,16.3,15.5,17.6,16.6,19.9,19.60%,23.60%,1.40%
Switzerland,^,^,^,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,?,20.40%,?
Turkey,0.8,1.5,2.9,4.7,5.9,7.6,8.5,11.7,15.5,17.9,19.9,21.7,8.80%,37.20%,1.50%
Ukraine,^,^,^,0.1,0.3,0.6,1.1,1.1,1,1,1.2,1.9,58.60%,38.70%,0.10%
United Kingdom,7.1,9.3,10.3,16,19.8,28.4,32,40.3,37.2,49.6,56.9,64.1,12.70%,23.10%,4.50%
Other Europe,^,^,^,^,^,^,^,0.1,0.1,0.3,0.6,1.5,138.70%,46.10%,0.10%
Total Europe,121.4,135.4,153.4,186.7,214.8,248.1,264.8,318.8,322.9,383.9,402.8,461.6,14.60%,12.70%,32.30%
Azerbaijan,-,^,^,-,-,^,^,^,^,^,0.1,0.1,63.80%,?,?
Belarus,^,^,^,^,^,^,^,^,0.1,0.1,0.1,0.1,7.40%,58.30%,?
Kazakhstan,-,-,-,^,^,^,^,0.1,0.3,0.3,0.4,0.5,28.70%,?,?
Russian Federation,^,^,^,^,^,^,0.1,0.1,0.1,0.1,0.2,0.3,32.70%,46.50%,?
Turkmenistan,-,-,-,-,-,-,-,-,-,-,-,-,?,?,?
USSR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Uzbekistan,-,-,-,-,-,-,-,-,-,-,-,-,?,?,?
Other CIS,^,^,^,^,^,^,^,^,^,^,^,^,5.60%,29.30%,?
Total CIS,^,^,^,^,^,^,0.1,0.3,0.5,0.6,0.8,1.1,30.10%,58.80%,0.10%
Iran,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,7.20%,5.50%,?
Iraq,-,-,-,-,-,-,-,-,-,-,-,-,?,?,?
Israel,^,^,^,^,^,^,^,^,^,^,0.1,0.1,?,21.80%,?
Kuwait,-,-,-,-,-,-,-,-,-,^,^,^,?,?,?
Oman,-,-,-,-,-,-,-,-,-,-,-,-,?,?,?
Qatar,-,-,-,-,-,-,-,-,-,-,-,-,?,?,?
Saudi Arabia,-,-,-,-,-,-,-,-,-,-,-,-,?,?,?
United Arab Emirates,-,-,-,-,-,^,^,^,^,^,^,^,?,?,?
Other Middle East,^,^,^,^,^,^,^,0.1,0.4,0.5,0.7,0.7,?,63.30%,0.10%
Total Middle East,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.7,0.8,1.1,1.2,2.10%,18.30%,0.10%
Algeria,-,-,-,-,-,-,^,^,^,^,^,^,?,?,?
Egypt,0.9,1,1.4,1.6,1.8,1.5,1.1,1.9,2.5,2.1,2,2.8,37.50%,8.10%,0.20%
Morocco,0.3,0.4,0.7,0.7,0.7,1.2,1.9,2.5,3,3,3.8,4.7,22.40%,29.10%,0.30%
South Africa,^,^,^,^,^,^,1.1,3.1,4.2,5.9,6.9,6.9,0.70%,78.50%,0.50%
Eastern Africa,^,^,^,^,0.2,0.3,0.4,0.8,0.9,0.8,0.9,2.4,174.60%,48.90%,0.20%
Middle Africa,-,-,-,-,-,-,-,-,^,^,^,^,?,n/a,?
Western Africa,^,^,^,^,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,-0.30%,37.80%,?
Other Northern Africa,^,0.1,0.1,0.1,0.2,0.4,0.5,0.4,0.5,0.4,0.5,0.5,10.40%,27.70%,?
Other Southern Africa,-,-,-,-,-,-,-,-,-,-,-,-,n/a,n/a,?
Total Africa,1.3,1.6,2.3,2.5,3,3.6,5.2,8.9,11.3,12.5,14.3,17.5,22.50%,27.00%,1.20%
Australia,3.5,4.4,5,6.4,7.7,9.3,9.8,11.8,13,13.2,16.4,19.5,19.00%,16.80%,1.40%
Bangladesh,^,^,^,^,^,^,^,^,^,^,^,^,?,5.80%,?
China,13.1,27.6,49.4,74.1,103,138.3,159.8,185.6,240.9,304.6,365.8,405.7,10.90%,39.50%,28.40%
China Hong Kong SAR,^,^,^,^,^,^,^,^,^,^,^,^,-3.40%,8.40%,?
India,14.4,16.3,19.5,24,27.4,30,33.5,32.7,43.5,52.6,60.3,63.3,5.00%,15.40%,4.40%
Indonesia,^,^,^,^,^,^,-,^,^,-,0.2,0.2,?,92.40%,?
Japan,2.9,3.4,3.9,4.5,4.7,5.1,5,5.2,6.1,6.3,7.4,8.6,17.20%,9.60%,0.60%
Malaysia,-,-,-,-,-,-,-,-,-,-,-,-,?,?,?
New Zealand,1.1,1.5,1.6,2,2.1,2,2.2,2.4,2.3,2.1,2.1,2.3,9.10%,6.90%,0.20%
Pakistan,-,-,-,-,-,0.4,0.8,0.8,1.4,2.1,3.1,4.8,52.30%,?,0.30%
Philippines,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.7,1,1.1,1.2,1.2,1.90%,34.10%,0.10%
Singapore,-,-,-,-,-,-,-,-,-,-,-,-,?,?,?
South Korea,0.5,0.7,0.9,0.9,1,1.2,1.2,1.4,1.8,2.3,2.6,2.8,6.60%,18.20%,0.20%
Sri Lanka,^,^,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.4,0.4,0.4,?,60.50%,?
Taiwan,0.6,0.8,1,1.5,1.4,1.6,1.5,1.5,1.5,1.7,1.7,1.9,11.00%,11.10%,0.10%
Thailand,^,^,^,^,^,0.4,0.4,0.3,0.3,1.1,1.9,2.7,36.60%,129.40%,0.20%
Vietnam,^,^,^,^,^,0.1,0.1,0.2,0.2,0.3,0.3,0.5,58.20%,68.30%,?
Other Asia Pacific,^,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.5,43.50%,23.90%,?
Total Asia Pacific,36.1,54.9,81.5,113.6,147.8,188.8,214.8,243.3,312.5,388,463.7,514.3,10.90%,29.10%,36.00%
Total World,220.6,276.1,346.5,440.6,530.9,635.8,706.5,831.6,963.8,1141,1270.2,1429.6,12.60%,19.10%,100.00%
